 覚悟と兆し|Resolutions and Omens
 篝火の下の不安|Unease Under the Bonfire 
 とても大切な用事|A Very Important Matter
 負傷兵の仇討ち|Vengeance for the Wounded Soldiers 
 ＜エリアオーダー＞剣持たぬ人々を|Area Order: Those Without Swords 
 小さな隠れ村の物資事情|Supplies for the Little Hidden Village 
 このままじゃ食い詰めちまう|At This Rate I'll Go Broke 
 へし折れた斧|A Broken Axe 
 馬車の修繕材料|Repair Supplies for the Carriage 
 軽くなった手提げ袋|My Shopping Bag Grows Lighter
 旅路の支えに|To Support the Journey 
 気がかりな背中|A Worried Posture
 家内の治療に必要なもの|The Cure for My Wife 
 身を守る最低限の手入れ|The Minimum Needed to Protect Yourself 
 ＜エリアオーダー＞ここを拠り所とする人々を|Area Order: Those Who Rely on This Place 
 夜は冷えるからな|It Gets Cold at Night
 好奇心は災いの元？|Curiosity, the Root of Misfortune? 
 何かせずにはいられないのさ|Can't Stand By Idly
 いたいけな依頼|An Innocent Request
 爽やかな活躍|Invigorating Activity
 再起を懸けた双葉|Betting on a Comeback
 弱腰狩人の忠告|The Weak-Willed Hunter's Advice
 現状維持のための協力|Uniting to Preserve the Status Quo 
 扉開きて待つ日々|Waiting By an Open Door
 ＜エリアオーダー＞癒しを齎す眠り|Area Order: Sleep that Brings Comfort
 地道に材料集めから|Start With Steadily Collecting Materials 
 探し求めて一千里|Searching Over Vast Distances
 糊口をしのぐ日々|Living from Hand to Mouth
 品切れ品の素材|Materials for Out of Stock Goods 
 些細で大きな悩み|A Trifling and Great Dilemma 
 帰路での災難|Disaster on the Way Home 
 秘密の楽しみ|A Secret Pleasure
 買取りいたします！|I'll Buy From You! 
 待ち焦がれる瞳|Impatient Eyes 
 ＜エリアオーダー＞求める人へ行き渡るよう|Area Order: May It Reach Those Who Need It 
 ロスからの注意書き|A Cautionary Note from Ross
 旅人の置き手紙|Letter Left by a Traveler
 ユーリからの注意書き|A Cautionary Note from Yuri
 商隊の荷物を守れ|Protect the Caravan's Goods
 故郷を一目|A Glimpse of My Hometown 
 ドリスに伝えてくれ|Please Tell Doris
 乱れた筆跡のメモ|A Note in Scrawled Handwriting 
 エリ警備塔の皆さまへ――|To All in Eli Guard Tower
 護衛兵の急務|The Bodyguard's Urgent Mission 
 ＜エリアオーダー＞エリ警備塔魔物征伐|Area Order: Eli Guard Tower Demon Extermination
 拠点であるならば|If This Is The Place 
 一般人の保護に備え|Preparing to Protect the Commoners 
 膏薬の材料集め|Collecting Ingredients for Ointment
 日々の痛みに耐え|Enduring Daily Pains 
 備え付けの寝台修理|Repairing the Provided Beds
 次回立ち寄り時の依頼|A Request for Next Time You Drop By
 見知らぬ旅人のメモ|Note from a Traveling Stranger 
 出発した兵士の置き手紙|Letter Left by the Departing Soldier 
 隠れ潜む日々で|Days Spent in Hiding 
 ＜エリアオーダー＞エリ警備塔補給|Area Order: Eli Guard Tower Resupply 
 小物なりの挑発？|A Small-Time Provocation?
 いつの日か採れたてを|A Fresh Harvest Someday
 心優しき姉の目線|The Kind Sister's Gaze 
 手負いの後始末|Dealing With the Wounded 
 大都市への道のり|Journey to the Great City
 勇む若者からの挑戦状|Challenge from a Lively Youth
 素材を抱えて|Holding Materials
 老賢者の心配の種|The Wise Elder's Seed of Worry 
 あの大ケガ人の噂|Rumors of the Gravely Wounded Person 
 ＜エリアオーダー＞城塞都市メガド魔物征伐|Area Order: Fortress City Megado Demon Extermination 
 明日を生きる小さな手|A Small Hand Living Tomorrow 
 友人からの頼まれごと|Request from a Friend
 可憐な強射手|A Sweet and Strong Bowman
 新・メガドの名物メニュー|New Megado's Menu of Specialties 
 お洒落は挑戦|Strive to Be Stylish 
 外れの空き家と小さな善意|Abandoned House on the Outskirts and Good Intentions 
 依頼に理由が必要か？|Do I Need a Reason to Ask For Help?
 鍛冶屋の思いつき|The Blacksmith's Fancy 
 荷馬車の事故|A Wagon Accident 
 ＜エリアオーダー＞城塞都市メガド補給|Area Order: Fortress City Megado Resupply
 スペシャル任務|Special Mission
 無限課金討伐|Infinite Subjugation
 無限課金討伐|Infinite Subjugation
 無限課金討伐|Infinite Subjugation
 無限課金討伐|Infinite Subjugation
 無限課金討伐|Infinite Subjugation
 無限課金討伐|Infinite Subjugation
 無限課金討伐|Infinite Subjugation
 無限課金討伐|Infinite Subjugation
 無限課金討伐|Infinite Subjugation
 密な情報共有|Secretly Sharing Information 
 誰かヘマしたのか？|Did Someone Make a Blunder?
 疲労困憊の盗伐依頼|An Exhausted Request to Steal Trees
 仮初のアジト、その安全|Safety at the Temporary Hideout
 巣ごと潰したいよな|I'd Like to Quash the Whole Nest 
 盗賊たちのゲーム|The Bandits' Game
 若き紅一点の努力|The Young Woman's Efforts
 馴染みの狩人の不幸|The Familiar Hunter's Misfortune 
 北の盗賊アジト、危機|Crisis at the Northern Bandit Hideout
 ＜エリアオーダー＞北の盗賊のアジト魔物征伐|Area Order: Northern Bandit Hideout Demon Extermination
 隠れアジトに咲く花|Flower Blooming in the Hideout 
 マルテンのメモ書き|Marten's Notes 
 資材の管理ミス|A Mistake Managing Materials 
 病気の子ブタ|An Ailing Piglet 
 アジトの寝床事情|The Beds at the Hideout
 盗賊手製の腹薬|The Bandits' Homemade Stomach Medicine 
 どちらかというと、募集|You Could Say I'm Recruiting 
 今ばかりは勝手を慎み|Think of Others For Once 
 宙に浮いた買取り金|Profits Hanging in Midair
 ＜エリアオーダー＞北の盗賊のアジト補給|Area Order: Northern Bandit Hideout Resupply 
 遠路、重い荷を背負って|Bearing a Heavy Burden a Long Way
 運動がてらの軽い討伐|Exercise Doubling as Subjugation 
 野営地の周辺の魔物|Demons Around the Campground 
 並の戦力では敵わない|Ordinary Power Is No Match for Them 
 軽やかな身のこなし|An Easy-Going Bearing
 諦観に撤退する狩人|The Hunter Who Retreats in Resignation 
 口を噤む詩人|The Poet Who Holds His Tongue
 急務！　巣作りの妨害|Urgent! Nest-Building Interference 
 周辺魔物の動向確認|Following the Nearby Demons' Movements 
 ＜エリアオーダー＞火垂れ山野営地魔物征伐|Area Order: Firefall Mountain Campsite Demon Extermination 
 消えた目当ての休息所|Our Resting Place Has Disappeared
 アジトからの運搬コスト|Transport Costs from the Hideout 
 予備はあるに越したことがない|Nothing Better Than Having a Spare 
 異国から聞きつけて|Heard from a Foreign Land
 爪牙忘れぬ盗賊|The Bandit Who Is a Vassal at Heart
 他言無用、納品依頼|Keep This Delivery Request a Secret
 断熱靴下の試作|A Prototype for Insulated Socks
 秘密裡に進めたい取り引き|A Transaction Behind Closed Doors
 盗賊料理の材料集め|Collecting Ingredients for the Bandits' Cooking
 ＜エリアオーダー＞火垂れ山野営地補給|Area Order: Firefall Mountain Campsite Resupply
 地下墓場の誘い|The Call of the Catacombs
 古き力に魅かれし者|Drawn to Ancient Power 
 古都の賜物|The Ancient City's Legacy
 輝く扉|The Shining Gate 
 地下墓場の誘い|The Call of the Catacombs
 地下墓場の誘い|The Call of the Catacombs
 地下墓場の誘い|The Call of the Catacombs
 魔界村コラボ 特別ミッション|Ghosts 'n Goblins Collaboration Special Mission 
 古き力に魅かれし者|Drawn to Ancient Power 
 古き力に魅かれし者|Drawn to Ancient Power 
 古き力に魅かれし者|Drawn to Ancient Power 
 古都の賜物|The Ancient City's Legacy
 古都の賜物|The Ancient City's Legacy
 古都の賜物|The Ancient City's Legacy
 輝く扉|The Shining Gate 
 レスタニア追懐戦記|Lestania War Chronicles
 歪みの執行人|Agent of Corruption
 歪みの執行人・限界域|Agent of Corruption Restricted Stage:
 淀みし大竜力|Phantasmic Great Dragon
 淀みし大竜力・限界域|Phantasmic Great Dragon Restricted Stage:
 戦技闘会・竜伐戦|Battle Competition Dragon Battle
 戦徒と共に|With the Myrmidons 
 大地の怒り|Earth's Fury 
 大地の怒り・限界域|Earth's Fury Restricted Stage: 
 闇の再動|Recurrence of Darkness 
 降臨せし闇・限界域|Onset of Darkness Restricted Stage:
 降臨せし闇|Onset of Darkness
 異人の遺跡|The Foreigner's Remains
 異人の洞窟|The Foreigner's Cave 
 異人の地下墓所|The Foreigner's Underground Tomb 
 異人の塔|The Foreigner's Tower
 フィンダム追懐戦記|Phindym War Chronicles 
 【１周年記念】 白竜杯|1st Anniversary: White Dragon Cup
 【２周年記念】白竜杯|2nd Anniversary: White Dragon Cup
 グリッテン砦攻防戦　戦況：激戦|Battle for Gritten Fort: Fierce Battle 
 太古の強者|Ancient Warrior
 グリッテン砦攻防戦　戦況：怪戦|Battle for Gritten Fort: Mystery Battle
 失われた秩序|The Lost Order 
 グリッテン砦攻防戦　戦況：奪回戦|Battle for Gritten Fort Recapture Battle
 魔物のるつぼ|The Crucible of Demons 
 眩き黄金|The Dazzling Gold
 目覚めし闇の魔物|The Demon of Darkness Awakens
 魔赤島の狂宴|Bloodbane Isle's Feast of Madness
 古代神殿の死闘|The Deathly Battle of the Ancient Temple 
 呼び覚まされし竜|The Dragon Awakened
 絶望と惨劇の砲声 限界域|Enfilade of Despair and Tragedy Restricted Stage:
 速壊の極み　ダクレイム砦|Breakneck Destruction Dacreim Fortress
 誘う眼　限界域|The Inviting Eye Restricted Stage: 
 速移の極み　ジフール砦|Breakneck Speed Jifule Fortress 
 暗晦の炎　限界域|Flames of Darkness Restricted Stage: 
 【３周年記念】白竜杯|3rd Anniversary: White Dragon Cup
 【３周年記念】速移の極み|3rd Anniversary: Breakneck Speed 
 黒界の門番|Gatekeeper of the Dark World 
 【高難度】黒界の門番|High Difficulty: Gatekeeper of the Dark World
 狂宴に舞う蒼影|Blue Shadow Dancing in Revelry 
 【高難度】狂宴に舞う蒼影|High Difficulty: Blue Shadow Dancing in Revelry
 黒き闇の覚者|Arisen of the Black Darkness 
 【高難度】黒き闇の覚者|High Difficulty: Arisen of the Deep Darkness 
 理を破壊する力|Power that Destroys Reason 
 【高難度】理を破壊する力|High Difficulty: Power that Destroys Reason
 大竜晶破壊戦：抗う大地|The Great Dragon Crystal War: The Resisting Land 
 大竜晶破壊戦：奪われた王宮|The Great Dragon Crystal War: Captured Palace
 大竜晶破壊戦：主無き古城|The Great Dragon Crystal War: Castle with No Lord
 大竜晶破壊戦：捧げられし廃都|The Great Dragon Crystal War: The Sacrificed Capital 
 【限界域】理を破壊する力|Restricted Stage: Power that Destroys Reason 
 砦に轟く戦鬼連合|Demon Forces Thundering Through the Fortress 
 黒の殉教者|The Black Martyr 
 レジェンドオブレスタニア|Legend of Lestania 
 破攻の証　ファイター戦術試練|Fighter Tactics Trial: Break Attack
 クラン酒場に集う勇|Gathering in the Clan Tavern 
 頑盾の証　ファイター戦術試練|Fighter Tactics Trial: A Stubborn Shield 
 浄化の証　プリースト戦術試練|Priest Tactics Trial: Purification 
 旋風の証　シーカー戦術試練|Seeker Tactics Trial: A Whirlwind
 魔盾の証　シールドセージ戦術試練|Shield Sage TacticsA Magick Shield 
 狙弓の証　ハンター戦術試練|Hunter Tactics Trial: An Ambushing Bow 
 魔攻の証　ソーサラー戦術試練|Sorcer Tactics Trial: A Magick Attack
 魔弓の証　エレメントアーチャー戦術試練|Element Archer Tactics Trial: A Magick Bow 
 剛剣の証　ウォリアー戦術試練|Warrior Tactics Trial: A Strong Sword
 錬金の証　アルケミスト戦術試練|Alchemist Tactics Trial: Alchemy 
 覚者の甲斐性|The Arisen's Abilities 
 神殿の商い人|The Temple's Tradespeople
 確かな情報源|Reliable Source of Information 
 レスタニアの着飾り美人|Lestania's Best Dressed
 クラフトで伝える心|Crafted Token of the Heart 
 破攻の証　プリースト戦術試練|Priest Tactics Trial: Break Attack 
 破攻の証　シールドセージ戦術試練|Shield Sage Tactics Trial: Break Attack
 破攻の証　ハンター戦術試練|Hunter Tactics Trial: Break Attack 
 続・クラン酒場に集う勇|Gathering in the Clan Tavern (Continued) 
 求道の師を訪ねて　ファイター|Seeking the Master Fighter
 求道の師を訪ねて　プリースト|Seeking the Master Priest 
 求道の師を訪ねて　ハンター|Seeking the Master Hunter 
 求道の師を訪ねて　シールドセージ|Seeking the Master Shield Sage
 求道の師を訪ねて　シーカー|Seeking the Master Seeker 
 求道の師を訪ねて　ソーサラー|Seeking the Master Sorcerer 
 求道の師を訪ねて　エレメントアーチャ―|Seeking the Master Element Archer 
 求道の師を訪ねて　ウォリアー|Seeking the Master Warrior
 求道の師を訪ねて　アルケミスト|Seeking the Master Alchemist
 更なる厄災の兆し|Further Signs of Misfortune
 竜力の渦|Whirls of Dragon Force 
 ハイデル平原　試練：霊廟に潜むもの|Hidell Plains Trial: What Lurks in the Catacombs 
 ハイデル平原　試練：災いの病巣|Hidell Plains Trial: The Cause of Calamity 
 ブリア海岸　依頼：浜を悩ます厄介者|Breya Coast Request: Troubled Shores
 ブリア海岸　試練：財宝を追いかけて|Breya Coast Trial: Seeking Treasure
 ブリア海岸　依頼：浜を悩ます厄介者２|Breya Coast Request Troubled Shores
 ミスリウ森林　試練：古よりの使者|Mysree Forest Trial: An Ancient Emissary 
 ミスリウ森林　試練：討伐！　魔獅子シンガ|Mysree Forest Trial: Elimination - Singa, the Ensorcelled One
 ボルド鉱山　試練：大坑道探検|Volden Mines Trial: The Large Tunnels Exploration
 ボルド鉱山　試練：山頂を覆う翼|Volden Mines Trial: Summit-Concealing Wings
 ダウ渓谷　試練：鳴り響きしは――？|Dowe Valley Trial: Echoes
 ダウ渓谷　試練：恐ろしの歌姫|Dowe Valley Trial: Fear's Songstress 
 ミスリウ森林深部　試練：困った居候|Mysree Grove Trial: The Unwanted Guest 
 ミスリウ森林深部　試練：貪る巨鬼|Mysree Grove Trial: The Hungry Giant 
 ディナン深層林　試練：遺跡に舞う石鶏|Deenan Woods Trial: The Stone Fowl in the Ruins
 ディナン深層林　試練：白い災厄|Deenan Woods Trial: The White Scourge
 バートランド平原　試練：ほの暗き調査任務|Betland Plains Trial: The Shadowy Survey Mission 
 バートランド平原　試練：オーク隊追撃任務|Betland Plains Trial: Pursuing the Orc Company 
 バートランド平原北部　試練：納骨堂の影|Northern Betland Plains Trial: The Crypt's Shadow
 バートランド平原北部　試練：暴走の軍竜|Northern Betland Plains Trial: The Rampaging War Dragon
 ザンドラ禁域　試練：目覚めし兵器|Zandora Wastelands Trial: To Arms
 ザンドラ禁域　試練：死を誘う歌|Zandora Wastelands Trial: The Song for Death 
 ザンドラ東部　試練：灼熱の脅威|Eastern Zandora Trial: The Scorching Menace
 ザンドラ東部　試練：亡霊騎士と呪いの秘宝|Eastern Zandora Trial: The Spectral Knight's Cursed Treasure 
 亡都メルゴダ　試練：秘術の代償|Mergoda Ruins Trial: The Price of the Secret Arts
 亡都メルゴダ　試練：秘術の落とし仔|Mergoda Ruins Trial: The Secret Arts' Lost Progeny 
 パートナーポーンとの暮らし|Living with the Partner Pawn 
 戦技の継承　新たなる白竜の導き|Skill Augmentation Guidance of a Renewed White Dragon 
 魔の足音|Dangerous Footsteps
 混沌の兆し|Signs of Chaos 
 至高の輝き|Supreme Radiance 
 クラン拠点の門を叩いて|Banging the Gates of the Clan Hall 
 辺境に眠りし宝１|The Treasure Lying in the Frontier
 辺境に眠りし宝２|The Treasure Lying in the Frontier
 辺境に眠りし宝３|The Treasure Lying in the Frontier
 辺境に眠りし宝４|The Treasure Lying in the Frontier
 ざわめきし大地|The Stirring Ground
 蠢きし影|The Squirming Shadow 
 アークに眠りし宝|The Treasure Sleeping in the Ark 
 歌い継がれし勇姿|Singing Praises of Success 
 道を極めんがため|Road to Mastery
 パンプキンランタンが照らすのは？|Light a Pumpkin Lantern? 
 パンプキンランタンが照らすのは？|Light a Pumpkin Lantern? 
 奇蹟者への道＜１＞|Path to Miracles () 
 奇蹟者への道＜２＞|Path to Miracles () 
 奇蹟者への道＜３＞|Path to Miracles () 
 贈り物に願いをこめて＜上＞|With Great Desire to Gift (Upper)
 贈り物に願いをこめて＜下＞|With Great Desire to Gift (Lower)
 クリスマスイベントNPCセット用|NPC sets for Christmas
 想い人への愛の形＜１＞|Shape of Love for Someone ()
 想い人への愛の形＜２＞|Shape of Love for Someone ()
 想い人への愛の形|Shape of Love for Someone
 心を込めたお返しを|Heartfelt Gift Return
 ホワイトデーのお返し・リズとメイリーフ|White Day Gift Return Lise and Mayleaf
 ホワイトデーのお返し・エリオットとガルドリン|White Day Gift Return Elliot and Gurdolin 
 ホワイトデーのお返し・クラウス|White Day Gift Return Klaus 
 ホワイトデーセット用|For White Day Set
 サマー！ビーチフェスティバル＜１＞|Summer! Beach Festival () 
 サマー！ビーチフェスティバル＜２＞|Summer! Beach Festival () 
 霊槍の証　スピリットランサー戦術試練|Spirit Lancer Tactics Trial: A Spirit Lance
 求道の師を訪ねて　スピリットランサー|Seeking the Master Spirit Lancer
 戦技の継承　ファイター求道試練１|Skill Augmentation Fighter Trial: I
 戦技の継承　ファイター求道試練|Skill Augmentation Fighter Trial: II 
 戦技の継承　ファイター求道試練３|Skill Augmentation Fighter Trial: III
 戦技の継承　ファイター求道試練４|Skill Augmentation Fighter Trial: IV 
 戦技の継承　プリースト求道試練１|Skill Augmentation Priest Trial: I 
 戦技の継承　プリースト求道試練|Skill Augmentation Priest Trial: II
 戦技の継承　プリースト求道試練３|Skill Augmentation Priest Trial: III 
 戦技の継承　プリースト求道試練４|Skill Augmentation Priest Trial: IV
 戦技の継承　ハンター求道試練１|Skill Augmentation Hunter Trial: I 
 戦技の継承　ハンター求道試練|Skill Augmentation Hunter Trial: II
 戦技の継承　ハンター求道試練３|Skill Augmentation Hunter Trial: III 
 戦技の継承　ハンター求道試練４|Skill Augmentation Hunter Trial: IV
 戦技の継承　シールドセージ求道試練１|Skill Augmentation Shield Sage Trial: I
 戦技の継承　シールドセージ求道試練|Skill Augmentation Shield Sage Trial: II 
 戦技の継承　シールドセージ求道試練３|Skill Augmentation Shield Sage Trial: III
 戦技の継承　シールドセージ求道試練４|Skill Augmentation Shield Sage Trial: IV 
 戦技の継承　シーカー求道試練１|Skill Augmentation Seeker Trial: I 
 戦技の継承　シーカー求道試練|Skill Augmentation Seeker Trial: II
 戦技の継承　シーカー求道試練３|Skill Augmentation Seeker Trial: III 
 戦技の継承　シーカー求道試練４|Skill Augmentation Seeker Trial: IV
 戦技の継承　ソーサラー求道試練１|Skill Augmentation Sorcerer Trial: I 
 戦技の継承　ソーサラー求道試練|Skill Augmentation Sorcerer Trial: II
 戦技の継承　ソーサラー求道試練３|Skill Augmentation Sorcerer Trial: III 
 戦技の継承　ソーサラー求道試練４|Skill Augmentation Sorcerer Trial: IV
 戦技の継承　エレメントアーチャ―求道試練１|Skill Augmentation Element Archer Trial: I 
 戦技の継承　エレメントアーチャ―求道試練|Skill Augmentation Element Archer Trial: II
 戦技の継承　エレメントアーチャ―求道試練３|Skill Augmentation Element Archer Trial: III 
 戦技の継承　エレメントアーチャ―求道試練４|Skill Augmentation Element Archer Trial: IV
 戦技の継承　ウォリアー求道試練１|Skill Augmentation Warrior Trial: I
 戦技の継承　ウォリアー求道試練|Skill Augmentation Warrior Trial: II 
 戦技の継承　ウォリアー求道試練３|Skill Augmentation Warrior Trial: III
 戦技の継承　ウォリアー求道試練４|Skill Augmentation Warrior Trial: IV 
 戦技の継承　アルケミスト求道試練１|Skill Augmentation Alchemist Trial: I
 戦技の継承　アルケミスト求道試練|Skill Augmentation Alchemist Trial: II 
 戦技の継承　アルケミスト求道試練３|Skill Augmentation Alchemist Trial: III
 戦技の継承　アルケミスト求道試練４|Skill Augmentation Alchemist Trial: IV 
 戦技の継承　スピリットランサー求道試練１|Skill Augmentation Spirit Lancer Trial: I
 戦技の継承　スピリットランサー求道試練|Skill Augmentation Spirit Lancer Trial: II 
 戦技の継承　スピリットランサー求道試練３|Skill Augmentation Spirit Lancer Trial: III
 戦技の継承　スピリットランサー求道試練４|Skill Augmentation Spirit Lancer Trial: IV 
 誰が一番？|Who Is the Best? 
 メイリーフと小鳥の報せ|Story of Mayleaf and the Songbird
 クラウスとジョゼフ|Klaus and Joseph 
 レオの遺せし物|Leo's Legacy 
 ハイデル平原　試練：湧き出ずる災い|Hidell Plains Trial: A Gush of Misfortune
 ハイデル平原　試練：アークの守護者|Hidell Plains Trial: The Ark's Guardian
 ブリア海岸　試練：蒼き燐光|Breya Coast Trial: A Bright Blue Glow
 ブリア海岸　試練：轟く白き雷鳴|Breya Coast Trial: A Great White Thunder 
 ミスリウ森林　試練：悪夢の巨影|Mysree Forest Trial: A Nightmare's Great Shadow
 ミスリウ森林　試練：黒き呪縛の殺意|Mysree Forest Trial: The Malice of the Accursed
 ボルド鉱山　試練：漆黒に浮かぶ怨|Volden Mines Trial: A Forlorn Complaint
 ボルド鉱山　試練：炎の蒸留源|Volden Mines Trial: Spirits Aflame 
 ダウ渓谷　試練：石呪の木立|Dowe Valley Trial: The Cursed Grove
 ダウ渓谷　試練：井戸底からの呼び声|Dowe Valley Trial: The Cries from the Bottom of the Well 
 ミスリウ森林深部　試練：忘れられた想い|Mysree Grove Trial: The Long-Forgotten Memory
 ミスリウ森林深部　試練：忘我の果てに|Mysree Grove Trial: The End of Oblivion
 ディナン深層林　試練：ヘレティックグリーン|Deenan Woods Trial: Heretic Green
