Japanese,English,english,speaker
レベルキャップ白竜そに２（仮）, The White Dragon Level Cap 2 (tentative) ,,
宵闇より出でし翼, Wing Emerging at Twilight ,,
揺籃鳥, Cradle Bird ,,
迷いエント, Lost Ent ,,
堅牢無比な門番長, Matchless Gatekeeper Leader ,,
堅牢無比な, Matchless ,,
必死な門番長, Desperate Gatekeeper Leader ,,
必死な, Desperate ,,
弱った門番長, Weakened Gatekeeper Leader ,,
弱った, Weakened ,,
魔軍残党の将, Demon Army Remnant Leader ,,
魔軍残党の哨戒兵, Demon Army Remnant Patrol ,,
魔軍残党の, Demon Army Remnant ,,
隔離された, Isolated ,,
怒りの働きバチ, Worker Bee of Rage ,,
塔を占領する, Tower Occupying ,,
追跡, Pursuit ,,
占領する, Occupying ,,
淀みを乱す, Stagnation Disturbing ,,
淀みの混沌, Chaos of Stagnation ,,
眠りから覚めた, Awoken ,,
古精霊竜の守獣, Old Spirit Dragon Guard Beast ,,
行方を阻む, Obstructing ,,
黒き戦士の家畜, Black Warrior's Tamed ,,
城を占拠する, Castle Occupying ,,
白竜黒騎士, White Dragon Black Knight ,,
メガド護衛兵？, Megado Guard? ,,
メガドの狂犬, Megado's Mad Dog ,,
侵入したオーク, Invasion Orc ,,
憲兵隊小隊長, Military Police Captain ,,
憲兵隊兵士, Military Police Soldier ,,
憲兵隊警邏小隊長, Captain of the Military Police Patrol Unit ,,
侵入した, Invasion ,,
侵略する, Invading ,,
冥府の使い魔, Netherworld Familiar ,,
冥府の獄吏, Netherworld Gaoler ,,
冥府の悪魔, Netherworld Fiend ,,
奈落の王, King of the Netherworld ,,
壊滅させるもの, The Devastator ,,
冥府の番人, Netherworld Guardian ,,
死を約束するもの, One That Promises Death ,,
屋敷の鍵番, Mansion Gatekeeper ,,
使役獣, Enslaved Beast ,,
フラッグブレイカー, Flag Breaker ,,
野盗, Bandit ,,
朽ちた騎士の残魂, Remnant Soul of a Decayed Knight ,,
朽ちた兵士の残魂, Remnant Soul of a Decayed Soldier ,,
朽ちた魔女の残魂, Remnant Soul of a Decayed Witch ,,
離宮の番人, Detached Palace Guard ,,
戦の将部隊, War Master Unit ,,
戦の将の子飼い, War Master's Pet ,,
火垂れ山に巣食う炎獣, Firefall Mountain Haunting Flame Beast ,,
古代の亡霊, Ancient Ghost ,,
古代の亡者, Ancient Undead ,,
離宮を徘徊する, Detached Palace Roaming ,,
百人長の亡霊, Centurion's Spirit ,,
初代王の亡霊, The Ghost of the First King ,,
魔炎の竜晶, Dragon Crystal of Flame ,,
魔岩の竜晶, Dragon Crystal of Earth ,,
魔風の竜晶, Dragon Crystal of Wind ,,
魔領進攻軍特殊兵, Invasion Force First Class Soldier ,,
騎士団の仇敵, The Knights' Bitter Enemy ,,
偉大なる錬金術師, The Great Alchemist ,,
火焔の竜晶, Flame Dragon Crystal ,,
ミュータント・, Mutant ,,
大輪の, Large-flowered ,,
グレート・, Great ,,
リトル・, Little ,,
ヒュージ・, Huge ,,
ロイグの元家畜, Loeg's Former Tamed ,,
黒き戦士, Black Warrior ,,
甘い香りのする, Sweet scent of ,,
甘党の, Sweet Tooth ,,
若木の, Sapling ,,
怒りの親玉エント, Angry Ent Chieftain ,,
至って普通の, Extremely Ordinary ,,
ズールの亡霊, Ghost of Zuhl ,,
悪しき竜に仕える, Evil Dragon Servant ,,
脚の速い, Fleet-footed ,,
黄泉がえりし泉の守護者, Guardian of the Underworld Spring ,,
黄泉がえりし戦の将の子飼い, The Reincarnated Warlord's Pet ,,
黄泉がえりし古の扉の番兵, Guardian of the Ancient Gate of the Underworld ,,
黄泉がえりし古代の亡霊, Ancient Spirit of the Underworld ,,
冥府の徘徊魔, Prowler of the Underworld ,,
冥府の拷問者, Torturer of the Underworld ,,
饗宴の主, Lord of the Feast ,,
死滅都市の悪魔, Devil in a Dead City ,,
忌まわしき首領, Accursed Lord ,,
堕ちたる者, The Fallen ,,
封印から目覚めし指輪の守護者, Guardian of the Ring ,,
危険な（仮）, Dangerous (temporary) ,,
とっても危険な（仮）, Very dangerous (temporary) ,,
突然変異（仮）, Mutation (tentative) ,,
蝕まれた, Corrupted ,,
魔軍戦車・, Demon Army Tanks ,,
いにしえの邪眼・, Ancient Evil Eye ,,
力に呑まれし王者・, The Ruler Overwhelmed by Power ,,
賢竜・,  ,,
対の幻影・天, Duality Illusion: Heaven ,,
対の幻影・地, Duality Illusion: Earth ,,
闇に呑まれ硬化した, Hardened by Darkness ,,
闇に呑まれ強暴化した, Ravaged by Darkness ,,
弱化した賢竜・,  ,,
弱化した, Weakened ,,
黒剣を護る, Protecting the Black Sword ,,
闇の渦に巣食う, Nestled in the Vortex of Darkness ,,
MQ(仮）, MQ (temporary) ,,
満開メガトンマンドラゴラ, Full Bloom Megaton Mandragora ,,
満開メガトンハバネロ, Full Bloom Megaton Habanero ,,
アトロポス・クイーンビー,"  Atropos, Queen Bee  ",,
炎の傀儡ギガン・マキナ, Flame Puppet Gigant Machina ,,
氷の傀儡フロスト・マキナ, Ice Puppet Frost Machina ,,
マリオネットマスターウィッチ, Marionette Master Witch ,,
暴食フットバイター, Gluttonous Foot-Biter ,,
暴食フットバイター？, Gluttonous Foot-Biter? ,,
虹の輝きリトルビフレスト, Rainbow Glitter Little Bifrost ,,
変異型狂侵グリフィン, Mutated Severely Infected Griffin ,,
ヒュージフリージングスライム, Huge Freezing Slime ,,
谷の賢者ノーム・エント,  ,,
未完の魔眼パイモンルビーアイ, Incomplete Magic Eye: Ruby-Eye Paimon ,,
ヒュージディープスライム, Huge Deep Slime ,,
目覚めた石像ヘルガーゴイル, Awakened Stone Statue: Hell Gargoyle ,,
スモールリザード, Small Lizard ,,
狼王ダイアウルフ, Wolf King Direwolf ,,
300年永らえたマッドマン, 300-year-old Mudman ,,
ムーンライズ・シャドーキメラ, Moonrise Shadow Chimera ,,
大罪・嫉妬のデスナイト, Sin of Envy Death Knight ,,
マウンテン・サイクロプス, Mountain Cyclops ,,
夜の訪れリトルブラックグリフィン,"  The arrival of night, Little Black Griffin  ",,
太古の処刑人, The Ancient Executioner ,,
霧をさまようリトルミストウィルム, Little Mist Wyrm Wandering through the Mist ,,
【ネームドハント】ワイルドボア, [Named Hunt] Wild Boar ,,
古代の巨兵ジオゴーレム, Ancient Giant Soldier Geo Golem ,,
潜入部隊キャプテンアンセスター, Ancestral Infiltration Unit Captain ,,
サンライズ・ブレイズキメラ, Sunrise Blaze Chimera ,,
未完の魔眼パイモンラピスアイ, Incomplete Magic Eye: Lapis-Eye Paimon ,,
300年永らえたスラッジマン, 300-year-old Sludgeman ,,
魔法暗殺部隊, Magic Assassination Unit ,,
さまよう小さき魂, Wandering Little Soul ,,
灼熱ラージサラマンダー, Scorching-hot Giant Pyre Saurian ,,
奇襲のエキスパートリーダー, Ambush Expert Leader ,,
同志の集いロールスパインバック,"  Gathering of Comrades, Roll Spineback  ",,
大罪・憤怒のエリミネーター・スレイ,"  Mortal Sin of Wrath, Eliminator Slayer  ",,
ヒュージパイロスライム, Huge Pyro Slime ,,
八眼の怪物アラクネー, Eight-Eyed Monster Arachne ,,
欲望喰らいのエンシェントマンイーター, Ancient Maneater of Desire ,,
レッドズール・ザ・デビル, Red Zuhl the Devil ,,
潜入部隊アンセスターオーク, Infiltration Team Ancestor Orc ,,
奇襲のエキスパートトルーパー, Ambush Expert Trooper ,,
魔法暗殺部隊の目眩まし, Dazzle of the Magic Assassination Unit ,,
漲る力を秘めた, Overflowing Force ,,
黒騎士の戦徒, The Black Knight's Myrmidon ,,
白竜黒騎士の影, Shadow of the White Dragon Black Knight ,,
白竜の覚者・レオ,"  Arisen of the White Dragon, Leo  ",,
異界の, of the Other World ,,
激昂, enraged ,,
激昂スパインバック, Severely Infected Spineback ,,
ゴブリンファイター,Goblin Fighter,,
シールドゴブリン,Shield Goblin,,
スリングゴブリン,Sling Goblin,,
ゴブリンリーダー,Goblin Leader,,
ホブゴブリン,Hobgoblin,,
ホブゴブリンファイター,Hobgoblin Fighter,,
スリングホブゴブリン,Sling Hobgoblin,,
ホブゴブリンリーダー,Hobgoblin Leader,,
ギガン・マキナ,Gigant Machina,,
オークバトラー,Orc Battler,,
オークソルジャー,Orc Soldier,,
スライム,Slime,,
ディープスライム,Deep Slime,,
ブロブ,Blob,,
グラトンウーズ,Glutton Ooze,,
ウーズ,Ooze,,
ミストウィルム,Mist Wyrm,,
ミストドレイク,Mist Drake,,
ベヘモット,Behemoth,,
アングルス,Angules,,
リンドブルム,Lindwurm,,
ウィルム,Wyrm,,
ドレイク,Drake,,
ウルフアルケミー,Alchemized Wolf,,
シャドーウルフ,Shadow Wolf,,
グリムワーグ,Grimwarg,,
ダイアウルフ,Direwolf,,
オオカミ,Wolf,,
スケルトンアルケミー,Alchemized Skeleton,,
ゴーストメイル,Ghost Mail,,
デスナイト,Death Knight,,
スケルトンソーサラー,Skeleton Sorcerer,,
スケルトンメイジ,Skeleton Mage,,
スケルトンウォリアー,Skeleton Warrior,,
スケルトンナイト,Skeleton Knight,,
ブルーニュート,Blue Newt,,
ロックリザード,Rock Saurian,,
ラージサルファー,Giant Sulfur Saurian,,
サルファーリザード,Sulfur Saurian,,
ラージリザード,Giant Saurian,,
リザードマン,Saurian,,
コープストーチャー・フロスト,Frost Corpse Torturer,,
コープスパニッシャー・フロスト,Frost Corpse Punisher,,
スラッジマン,Sludgeman,,
マッドマン,Mudman,,
ウォリアーアンデッド,Warrior Undead,,
ソードアンデッド,Sword Undead,,
ファットアンデッド,Stout Undead,,
アンデッド,Undead,,
シャドーハーピー,Shadow Harpy,,
ハーピーアルケミー,Alchemized Harpy,,
スノーハーピー,Snow Harpy,,
ハーピー,Harpy,,
ミストアルケミスト,Mist Alchemist,,
ミストウォリアー,Mist Warrior,,
ミストソーサラー,Mist Sorcerer,,
ミストプリースト,Mist Priest,,
ミストハンター,Mist Hunter,,
ミストファイター,Mist Fighter,,
メルガンシーカー,Mergan Seeker,,
バンデッドファイター,Banded Fighter,,
ローグファイター,Rogue Fighter,,
リーチ,Leech,,
ワーム,Worm,,
サイクロプス,Cyclops,,
モルトロール,Mole Troll,,
トロール,Troll,,
エント,Ent,,
コロッサス,Colossus,,
アーマーサイクロプス,Armored Cyclops,,
シャドーキメラ,Shadow Chimera,,
ホワイトキメラ,White Chimera,,
キメラ,Chimera,,
ジオゴーレム,Geo Golem,,
ダムドゴーレム,Damned Golem,,
ゴリアテ,Goliath,,
ゴーレム,Golem,,
グリフィン,Griffin,,
コカトリス,Cockatrice,,
ナイトメア,Nightmare,,
グリフィンアルケミー,Alchemized Griffin,,
ブラックグリフィン,Black Griffin,,
スフィンクス,Sphinx,,
アルケミーアイ,Alchemy Eye,,
エメラルドアイ,Emerald Eye,,
ラピスアイ,Lapis Eye,,
ルビーアイ,Ruby Eye,,
クリスタルアイ,Crystal Eye,,
ブルトエイプ,Brute Ape,,
グール,Ghoul,,
ドレッドエイプ,Dread Ape,,
オーガ,Ogre,,
エンプレスゴースト,Empress Ghost,,
ウィッチ,Witch,,
ワイト,Wight,,
エルダードラゴン,Elder Dragon,,
カブトグモ,Spider,,
野ブタ,Boar,,
雌ジカ,Doe,,
雄ジカ,Buck,,
スカルロード,Skull Lord,,
ゴブリンアルケミーファイター,Alchemized Goblin Fighter,,
ポーンファイター,Pawn Fighter,,
ポーンシーカー,Pawn Seeker,,
ポーンハンター,Pawn Hunter,,
ポーンヒーラー,Pawn Healer,,
ポーンガーダー,Pawn Defender,,
ポーンメイジ,Pawn Mage,,
ポーンウォリアー,Pawn Warrior,,
ポーンエレメンター,Pawn Element Archer,,
ポーンアルケミスト,Pawn Alchemist,,
フォレストゴブリン,Forest Goblin,,
フォレストゴブリンファイター,Forest Goblin Fighter,,
スリングフォレストゴブリン,Sling Forest Goblin,,
レッドキャップ,Redcap,,
レッドキャップファイター,Redcap Fighter,,
スリングレッドキャップ,Sling Redcap,,
ゴブリンアルケミー,Alchemized Goblin,,
メルガンアルケミスト,Mergan Alchemist,,
ローグシーカー,Rogue Seeker,,
ローグハンター,Rogue Hunter,,
ローグヒーラー,Rogue Healer,,
ローグガーダー,Rogue Defender,,
ローグメイジ,Rogue Mage,,
ローグウォリアー,Rogue Warrior,,
バンデッドシーカー,Banded Seeker,,
バンデッドハンター,Banded Hunter,,
バンデッドヒーラー,Banded Healer,,
バンデッドガーダー,Banded Defender,,
バンデッドメイジ,Banded Mage,,
バンデッドウォリアー,Banded Warrior,,
メルガンハンター,Mergan Hunter,,
メルガンヒーラー,Mergan Healer,,
メルガンガーダー,Mergan Defender,,
メルガンメイジ,Mergan Mage,,
メルガンウォリアー,Mergan Warrior,,
メルガンエレメンター,Mergan Element Archer,,
リビングアーマー,Living Armor,,
オークエイマー,Orc Tosser,,
オークバンガー,Orc Vanguard,,
オークブリンガー,Orc Blitzer,,
オークトルーパー,Orc Trooper,,
キラービー,Killer Bee,,
シャドーゴブリンリーダー,Shadow Goblin Leader,,
ゴブリンボマー,Goblin Bomber,,
ゴブリンキング,Goblin King,,
スリングシャドーゴブリン,Shadow Sling Goblin,,
シャドーゴブリンファイター,Shadow Goblin Fighter,,
シャドーゴブリン,Shadow Goblin,,
ダムドゴブリンファイター,Damned Goblin Fighter,,
ダムドスリングゴブリン,Damned Sling Goblin,,
ダムドゴブリン,Damned Goblin,,
スリングゴブリンアルケミー,Alchemized Sling Goblin,,
シルバーロア,Silver Roar,,
ロックリザードスピネル,Rock Saurian Spinel,,
子ブタ,Piglet,,
巨大な謎の肉塊,Giant Unspeakable Meat,,
謎の肉塊,Unspeakable Meat,,
メルガンファイター,Mergan Fighter,,
ダムドウルフ,Damned Wolf,,
ピクシージャバー,Pixie Jabber,,
侵食ホブゴブリン,Infected Hobgoblin,,
ワーグ,Warg,,
侵食ダイアウルフ,Infected Direwolf,,
グリーンガーディアン,Green Guardian,,
ボルトグリムワーグ,Bolt Grimwarg,,
狂侵ワーグ,Severely Infected Warg,,
スケルトンブルート,Skeleton Brute,,
スケルトン・フレイム,Flame Skeleton,,
スケルトン・フロスト,Frost Skeleton,,
スケルトン・ボルト,Bolt Skeleton,,
スケルトン・ルクス,Lux Skeleton,,
スケルトン・ダーク,Dark Skeleton,,
スケルトンブルート・フレイム,Flame Skeleton Brute,,
スケルトンブルート・フロスト,Frost Skeleton Brute,,
スケルトンブルート・ボルト,Bolt Skeleton Brute,,
スケルトンブルート・ルクス,Lux Skeleton Brute,,
スケルトンブルート・ダーク,Dark Skeleton Brute,,
ラージニュート,Large Newt,,
フットバイター,Foot-Biter,,
エリミネーター,Eliminator,,
コープスパニッシャー・フレイム,Flame Corpse Punisher,,
コープスパニッシャー・ボルト,Bolt Corpse Punisher,,
コープスパニッシャー・ルクス,Lux Corpse Punisher,,
コープスパニッシャー・ダーク,Dark Corpse Punisher,,
コープストーチャー・フレイム,Flame Corpse Torturer,,
コープストーチャー・ボルト,Bolt Corpse Torturer,,
コープストーチャー・ルクス,Lux Corpse Torturer,,
コープストーチャー・ダーク,Dark Corpse Torturer,,
ガーゴイル,Gargoyle,,
セイレーン,Siren,,
スチュパリデス,Stymphalídes,,
ストリクス,Strix,,
侵食スノーハーピー,Infected Snow Harpy,,
狂侵スチュパリデス,Severely Infected Stymphalídes,,
ヨロイムシ,Armored Insect,,
アクアジェリー,Aqua Jelly,,
パイロスライム,Pyro Slime,,
フリージングスライム,Freezing Slime,,
エレキスライム,Electric Slime,,
フォトンスライム,Photon Slime,,
ディムスライム,Dim Slime,,
フィンドファイター,Phindymian Fighter,,
フィンドシーカー,Phindymian Seeker,,
フィンドハンター,Phindymian Hunter,,
フィンドプリースト,Phindymian Priest,,
フィンドガーダー,Phindymian Defender,,
フィンドウォリアー,Phindymian Warrior,,
フィンドソーサラー,Phindymian Sorcerer,,
フィンドエレメンター,Phindymian Element Archer,,
モス,Moth,,
マンドラゴラ,Mandragora,,
ゴアサイクロプス,Gorecyclops,,
侵食ゴアサイクロプス,Infected Gorecyclops,,
狂侵ゴアサイクロプス,Severely Infected Gorecyclops,,
マンティコア,Manticore,,
ゴアキメラ,Gorechimera,,
狂侵グリフィン,Severely Infected Griffin,,
侵食グリフィン,Infected Griffin,,
バイルアイ,Vile Eye,,
イービルアイ,Evil Eye,,
マンイーター,Maneater,,
スパインバック,Spineback,,
メドゥーサ,Medusa,,
ゴースト,Ghost,,
カースドラゴン,Cursed Dragon,,
侵食ベヘモット,Infected Behemoth,,
狂侵ベヘモット,Severely Infected Behemoth,,
侵食オークソルジャー,Infected Orc Soldier,,
タラスク,Tarasque,,
フロスト・マキナ,Frost Machina,,
グリゴリ,Grigori,,
狂侵デーモン,Severely Infected Demon,,
ニワトリ,Chicken,,
ヤギ,Goat,,
カエル,Frog,,
ワイルド・ボア,Wild Boar,,
リザードマンセージ,Saurian Sage,,
侵食ホブゴブリンファイター,Infected Hobgoblin Fighter,,
侵食スリングホブゴブリン,Infected Sling Hobgoblin,,
フィンダーエント,Phindymian Ent,,
ホワイトグリフィン,White Griffin,,
ビフレスト,Bifrest,,
触手,Tentacle,,
侵食オークエイマー,Infected Orc Tosser,,
侵食オークバンガー,Infected Orc Vanguard,,
アドタラスク,Wisened Tarasque,,
グリゴリベアード,Bearded Grigori,,
ピクシービフ,Pixie Biff,,
ピクシーディン,Pixie Din,,
ピクシーポウ,Pixie Pow,,
狂侵ピクシー,Severely Infected Pixie,,
ピクシー,Pixie,,
ハイピクシービフ,High Pixie Biff,,
ハイピクシーゾルダ,High Pixie Zolda,,
ハイピクシーポウ,High Pixie Pow,,
ピクシーキング,Pixie King,,
オークに進化したゴブリン,Goblin Orc,,
アシッドブロブ,Acid Blob,,
オイルジェリー,Oil Jelly,,
スカーレットファイター,Scarlet Fighter,,
スカーレットシーカー,Scarlet Seeker,,
スカーレットハンター,Scarlet Hunter,,
スカーレットヒーラー,Scarlet Healer,,
スカーレットガーダー,Scarlet Defender,,
スカーレットメイジ,Scarlet Mage,,
スカーレットウォリアー,Scarlet Warrior,,
ラージリザードセージ,Giant Saurian Sage,,
リトルスパイン,Little Spine,,
祈りの竜晶,Dragon Crystal of Praying,,
うめきの竜晶,Dragon Crystal of Groaning,,
エリミネーター・スレイ,Eliminator Slayer,,
黒騎士・幻影,Black Knight Phantom,,
グリムゴブリン,Grim Goblin,,
グリムゴブリンファイター,Grim Goblin Fighter,,
スリンググリムゴブリン,Sling Grim Goblin,,
グレーターゴブリン,Greater Goblin,,
ゴブリンシャーマン,Goblin Shaman,,
ゴブリンエイドシャーマン,Goblin Aid Shaman,,
ヘルハウンド,Hellhound,,
ブレイズウルフ,Blaze Wolf,,
スケルトンワーグ,Skeleton Warg,,
戦甲グリムワーグ,War-Ready Grimwarg,,
スケルトンロード・アビス,Skeleton Lord (Abyss),,
ジオリザードマン,Geo Saurian,,
ラージジオリザード,Giant Geo Saurian,,
戦甲リザードマン,War-Ready Saurian,,
戦甲ラージリザード,War-Ready Giant Saurian,,
ブレイズハーピー,Blaze Harpy,,
ストーンブロブ,Stone Blob,,
ブレイズゴブリン,Blaze Goblin,,
ハバネロ,Habanero,,
バーンドエント,Burned Ent,,
フォッデン,Fodden,,
スケルトンサイクロプス,Skeleton Cyclops,,
戦甲ゴアサイクロプス,War-Ready Gorecyclops,,
ブレイズキメラ,Blaze Chimera,,
ゴアマンティコア,Goremanticore,,
戦甲ゴアマンティコア,War-Ready Goremanticore,,
戦甲ナイトメア,War-Ready Nightmare,,
クラッガー,Cragger,,
リトルクラッグ,Little Crag,,
戦甲オーガ,War-Ready Ogre,,
ミザリーゴースト,Misery Ghost,,
グラッジゴースト,Grudge Ghost,,
ロータスフィン,Lotus Fin,,
ホワイトタラスク,White Tarasque,,
カトブレパス,Catoblepas,,
斬兵ドワーフオーク,Sword Soldier Dwarf Orc,,
アンセスターオーク,Ancestor Orc,,
キャプテンアンセスターオーク,Ancestor Orc Captain,,
アンセスターオリジン,Progenitor,,
ブレイズグリゴリ,Blaze Grigori,,
バフォメット,Baphomet,,
イフリート,Ifrit,,
ウシュムガル,Ushumgal,,
打兵ドワーフオーク,Blunt Soldier Dwarf Orc,,
重兵ドワーフオーク,Heavy Soldier Dwarf Orc,,
投兵ドワーフオーク,Ranged Soldier Dwarf Orc,,
グリムゴブリンリーダー,Grim Goblin Leader,,
サラマンダー,Pyre Saurian,,
狂侵スカージ,Severely Infected Scourge,,
レッドズール,Red Zuhl,,
ブレイズゴブリンリーダー,Blaze Goblin Leader,,
ボルトアイ,Volt Eye,,
烈火岩,Blazing Boulder,,
悪しき竜用OM,Evil Dragon Test,,
怨塊,Grudge,,
ヘイト管理用透明敵,Invisible aggro enemy,,
デス,Death,,
アバドーン,Abaddon,,
蟲塚,Insect Mound,,
スケルトンサイクロプス・フロスト,Frost Skeleton Cyclops,,
レギオン,Legion,,
レギオンリーダー,Legion Leader,,
シャドーグリゴリ,Shadow Grigori,,
マーマン,Merman,,
ポイズンマーマン,Poison Merman,,
ダゴン,Dagon,,
スケルトンサイクロプス・ボルト,Bolt Skeleton Cyclops,,
ウコバク,Ukobach,,
黒竜の覚者,Arisen of the Black Dragon,,
ゴルゴーン,Gorgon,,
スケルトンサイクロプス・フレイム,Flame Skeleton Cyclops,,
ウァレフォル,Valefar,,
元覚者隊統率レオ,Former Arisen Corps Leader Leo,,
ボルト・マキナ,Bolt Machina,,
レイジゴースト,Rage Ghost,,
ギガン・マキナトリニティ,Gigant Machina Trinity,,
フロスト・マキナトリニティ,Frost Machina Trinity,,
ボルト・マキナトリニティ,Bolt Machina Trinity,,
暗黒の竜晶,Dragon Crystal of Darkness,,
祝福の結晶,Crystal of Blessing,,
強い闇を放つ暗黒竜晶,Darkness Emitting Dragon Crystal,,
シェムハザ,Samyaza,,
理を破壊する力,That Which Destroys Order,,
黒竜イベント用,Black Dragon (Event),,
破滅の竜晶,Dragon Crystal of Destruction,,
黒剣,Black Sword,,
束縛の竜晶,Dragon Crystal of Binding,,
